president,birth_date
Theodore Roosevelt,1858-10-27
William Taft,1857/Sep/15
Woodrow Wilson,1856-Dec-28
Warren Harding,2nov1865
Calvin Coolidge,Jul/04/1872
Herbert Hoover,Aug-10-1874
Franklin Roosevelt,1882-01-30
Harry Truman,1884-05-08
Dwight Eisenhower,1890-10-14
John F. Kennedy,1917-05-29
Lyndon Johnson,1908-08-27
Richard Nixon,1913-01-09
Gerald Ford,1913-07-14
Jimmy Carter,1924-10-01
Ronald Reagan,1911-02-06
George H.W. Bush,1924-06-12
Bill Clinton,1946-08-19
George W. Bush,1946-07-06
Barack Obama,1961-08-04
Donald Trump,1946-06-14
Joe Biden,1942-11-20